trank,team_name,,,,,,,,
309,Campbell,,,,,,,,
310,Alabama St.,,,,,,,,
311,Hartford,,,,,,,,
312,American,,,,,,,,
313,Tennessee Tech,,,,,,,,
314,Delaware,,,,,,,,
315,Texas Southern,,,,,,,,
316,Incarnate Word,,,,,,,,
317,Niagara,,,,,,,,
318,Hampton,,,,,,,,
319,Houston Baptist,,,,,,,,
320,Nicholls St.,,,,,,,,
321,Utah Valley,,,,,,,,
322,Army,,,,,,,,
323,Delaware St.,,,,,,,,
324,Southeast Missouri St.,,,,,,,,
325,St. Francis PA,,,,,,,,
326,Abilene Christian,,,,,,,,
327,Kennesaw St.,,,,,,,,
328,LIU Brooklyn,,,,,,,,
329,Maryland Eastern Shore,,,,,,,,
330,Morgan St.,,,,,,,,
331,Sacred Heart,,,,,,,,
332,Chicago St.,,,,,,,,
333,The Citadel,,,,,,,,
334,Prairie View A&M,,,,,,,,
335,Coppin St.,,,,,,,,
336,Longwood,,,,,,,,
337,Bethune Cookman,,,,,,,,
338,Central Connecticut,,,,,,,,
339,Central Arkansas,,,,,,,,
340,Arkansas Pine Bluff,,,,,,,,
341,Southern Utah,,,,,,,,
342,Presbyterian,,,,,,,,
343,North Carolina A&T,,,,,,,,
344,Maine,,,,,,,,
345,Mississippi Valley St.,,,,,,,,
346,Alcorn St.,,,,,,,,
347,Savannah St.,,,,,,,,
348,Alabama A&M,,,,,,,,
349,UT Rio Grande Valley,,,,,,,,
350,Florida A&M,,,,,,,,
351,Grambling St.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
