"away_team","home_team","score","is_neutral","game_ids","date","Home_ABR","Away_ABR","Winner_ABR","Loser_ABR","Home_wins","Attendance","home_fg","away_fg","home_three","away_three","home_ft","away_ft","home_rebound","away_rebound","home_o_rebound","away_o_rebound","home_d_rebound","away_d_rebound","home_assists","away_assists","home_steals","away_steals","home_blocks","away_blocks","home_turnovers","away_turnovers","home_fouls","away_fouls","home_t_fouls","away_t_fouls","home_f_fouls","away_f_fouls","away_is_ranked","home_is_ranked","People"
"Loyola Marymount LMU","Pacific PAC","PAC 58, LMU 49",FALSE,"/mens-college-basketball/game/_/gameId/401253730",20210116,"PAC","LMU","PAC","LMU",1,NA,47.6,35.8,33.3,15.4,78.9,53.8,30,24,3,4,27,20,8,5,6,7,4,4,21,17,19,21,0,0,0,0,FALSE,FALSE,""
"Mississippi Valley State MVSU","Alcorn State ALCN","ALCN 71, MVSU 59",FALSE,"/mens-college-basketball/game/_/gameId/401253706",20210116,"ALCN","MVSU","ALCN","MVSU",1,3,49.1,37,27.3,30,68.8,73.1,32,30,9,8,23,22,4,12,3,1,0,2,6,13,19,16,1,0,0,0,FALSE,FALSE,"237"
"Arizona State ASU","Oregon State ORST","ORST 80, ASU 79",FALSE,"/mens-college-basketball/game/_/gameId/401265378",20210116,"ORST","ASU","ORST","ASU",1,NA,46.3,50,42.9,23.8,77.8,78.3,35,27,13,8,22,19,19,22,1,6,1,0,11,4,21,23,0,0,0,0,FALSE,FALSE,""
"Siena SIE","Rider RID","SIE 74, RID 72",FALSE,"/mens-college-basketball/game/_/gameId/401261890",20210116,"RID","SIE","SIE","RID",0,NA,43.1,48.2,38.1,47.4,66.7,64.7,34,38,11,10,23,28,11,12,9,5,2,1,11,18,20,10,0,0,0,0,FALSE,FALSE,""
"McNeese MCN","New Orleans UNO","UNO 99, MCN 84",FALSE,"/mens-college-basketball/game/_/gameId/401261495",20210116,"UNO","MCN","UNO","MCN",1,6,49.4,53.6,36.7,36.4,66.7,69.6,43,31,16,4,27,27,28,19,7,1,4,6,8,15,21,15,1,0,0,0,FALSE,FALSE,"486"
"Purdue Fort Wayne PFW","Milwaukee MILW","PFW 81, MILW 74",FALSE,"/mens-college-basketball/game/_/gameId/401258550",20210116,"MILW","PFW","PFW","MILW",0,NA,45,62.8,26.9,70.6,76.5,60,25,31,6,2,19,29,14,18,9,8,1,2,13,23,16,17,0,0,0,0,FALSE,FALSE,""
"Cleveland State CLEV","Wright State WRST","WRST 85, CLEV 49",FALSE,"/mens-college-basketball/game/_/gameId/401258431",20210116,"WRST","CLEV","WRST","CLEV",1,NA,37.5,27.9,29.4,21.4,79.2,63.2,50,38,13,12,37,26,11,3,9,6,6,1,14,19,15,35,0,0,0,0,FALSE,FALSE,""
"Bellarmine BELL","Florida Gulf Coast FGCU","BELL 80, FGCU 63",FALSE,"/mens-college-basketball/game/_/gameId/401257499",20210116,"FGCU","BELL","BELL","FGCU",0,NA,42.6,53.8,35.7,45,50,75,30,32,12,9,18,23,13,17,7,7,3,0,17,13,20,18,1,1,0,0,FALSE,FALSE,""
"UTSA UTSA","Louisiana Tech LT","LT 82, UTSA 66",FALSE,"/mens-college-basketball/game/_/gameId/401254001",20210116,"LT","UTSA","LT","UTSA",1,15,49,33.8,53.8,32.4,72,84.6,44,31,9,10,35,21,16,9,2,2,3,1,12,8,18,23,0,0,0,0,FALSE,FALSE,"1,200"
"Dixie State DXST","UT Rio Grande Valley RGV","RGV 72, DXST 65",FALSE,"/mens-college-basketball/game/_/gameId/401253940",20210116,"RGV","DXST","RGV","DXST",1,7,45.9,42.9,21.1,19.2,48,54.5,37,42,12,14,25,28,19,16,9,7,1,0,13,18,21,26,0,0,0,0,FALSE,FALSE,"164"
"Portland PORT","Pepperdine PEPP","PEPP 80, PORT 65",FALSE,"/mens-college-basketball/game/_/gameId/401253729",20210116,"PEPP","PORT","PEPP","PORT",1,NA,49.3,41.1,24,26.9,72.7,66.7,44,31,6,1,38,30,24,17,10,10,4,0,16,16,17,15,0,0,0,0,FALSE,FALSE,""
"UC Riverside UCR","Cal Poly CP","UCR 70, CP 53",FALSE,"/mens-college-basketball/game/_/gameId/401252722",20210116,"CP","UCR","UCR","CP",0,NA,30.9,46.6,36.4,38.5,84.6,50,29,43,6,10,23,33,14,17,5,6,1,0,7,11,11,16,0,0,0,0,FALSE,FALSE,""
"Stephen F. Austin SFA","Incarnate Word UIW","SFA 83, UIW 65",FALSE,"/mens-college-basketball/game/_/gameId/401259014",20210116,"UIW","SFA","SFA","UIW",0,9,42.3,55.2,31.6,26.7,51.7,55.6,30,39,12,14,18,25,8,17,6,8,0,6,17,16,29,24,0,0,0,0,FALSE,FALSE,"176"
"BYU BYU","San Francisco SF","BYU 72, SF 63",FALSE,"/mens-college-basketball/game/_/gameId/401262510",20210116,"SF","BYU","BYU","SF",0,NA,38.1,44.8,36.1,27.8,66.7,83.3,28,45,7,12,21,33,10,10,9,4,2,5,8,12,19,9,0,0,0,0,FALSE,FALSE,""
"UC San Diego UCSD","UC Santa Barbara UCSB","UCSB 84, UCSD 53",FALSE,"/mens-college-basketball/game/_/gameId/401252723",20210116,"UCSB","UCSD","UCSB","UCSD",1,NA,54.8,35.8,40,20.8,66.7,83.3,42,25,12,6,30,19,24,8,3,3,3,0,12,12,15,14,0,0,0,0,FALSE,FALSE,""
"North Dakota State NDSU","North Dakota UND","UND 82, NDSU 78 (OT)",FALSE,"/mens-college-basketball/game/_/gameId/401258936",20210116,"UND","NDSU","UND","NDSU",1,21,48.3,42.9,29.2,39.1,77.3,75,28,44,3,14,25,30,12,10,5,4,4,2,9,16,15,21,0,0,0,0,FALSE,FALSE,"650"
"South Carolina SC","LSU LSU","LSU 85, SC 80",FALSE,"/mens-college-basketball/game/_/gameId/401258752",20210116,"LSU","SC","LSU","SC",1,16,45.8,44.9,38.9,27.6,75,71.4,37,39,10,13,27,26,10,18,10,9,2,6,13,15,16,22,2,0,0,0,FALSE,FALSE,"2,143"
"Grambling GRAM","Texas Southern TXSO","GRAM 78, TXSO 72",FALSE,"/mens-college-basketball/game/_/gameId/401253636",20210116,"TXSO","GRAM","GRAM","TXSO",0,NA,44.3,42.6,35,37.5,64.7,80,38,39,13,14,25,25,15,12,5,8,8,1,17,15,21,15,0,0,0,0,FALSE,FALSE,""
"Tennessee State TNST","Tennessee Tech TNTC","TNTC 74, TNST 71",FALSE,"/mens-college-basketball/game/_/gameId/401258208",20210116,"TNTC","TNST","TNTC","TNST",1,NA,46.3,44.6,38.5,21.1,63.6,73.9,41,26,11,4,30,22,17,9,6,8,3,0,20,12,15,17,0,0,0,0,FALSE,FALSE,""
"Tarleton TAR","California Baptist CBU","CBU 73, TAR 67",FALSE,"/mens-college-basketball/game/_/gameId/401253937",20210116,"CBU","TAR","CBU","TAR",1,NA,50,40,41.4,25,81.3,76.9,38,26,7,6,31,20,18,10,2,6,6,0,18,7,22,19,0,0,0,0,FALSE,FALSE,""
"Washington State WSU","USC USC","USC 85, WSU 77",FALSE,"/mens-college-basketball/game/_/gameId/401265382",20210116,"USC","WSU","USC","WSU",1,NA,46.4,49.1,31.6,34.8,51.7,72.2,38,31,14,7,24,24,17,10,6,5,3,5,8,15,16,21,0,3,0,0,FALSE,FALSE,""
"CSU Northridge CSUN","CSU Fullerton CSUF","CSUN 86, CSUF 85",FALSE,"/mens-college-basketball/game/_/gameId/401277466",20210116,"CSUF","CSUN","CSUN","CSUF",0,NA,43.9,45,40.7,40,69.6,73.3,41,35,9,5,32,30,16,21,7,2,4,4,11,11,23,20,0,0,0,0,FALSE,FALSE,""
"California CAL","Utah UTAH","CAL 72, UTAH 63",FALSE,"/mens-college-basketball/game/_/gameId/401265379",20210116,"UTAH","CAL","CAL","UTAH",0,NA,41.2,47.2,26.1,33.3,93.8,73.7,32,30,8,8,24,22,16,12,4,6,2,3,17,12,19,17,0,0,0,0,FALSE,FALSE,""
"CSU Bakersfield CSUB","Hawai'i HAW","CSUB 83, HAW 72",FALSE,"/mens-college-basketball/game/_/gameId/401252719",20210116,"HAW","CSUB","CSUB","HAW",0,NA,47.8,50,43.5,41.7,69.2,81.5,20,39,4,13,16,26,11,11,6,7,2,1,14,12,19,23,0,0,0,0,FALSE,FALSE,""
"UCF UCF","Houston HOU","HOU 75, UCF 58",FALSE,"/mens-college-basketball/game/_/gameId/401264277",20210117,"HOU","UCF","HOU","UCF",1,26,42.4,43.8,32,21.1,68.8,63.2,35,36,17,13,18,23,14,7,9,4,0,5,9,20,21,17,0,1,0,0,FALSE,TRUE,"1,859"
"Virginia Tech VT","Wake Forest WAKE","VT 64, WAKE 60",FALSE,"/mens-college-basketball/game/_/gameId/401260224",20210117,"WAKE","VT","VT","WAKE",0,1,36.7,47.8,30.4,22.2,60,69.6,37,30,16,7,21,23,8,10,10,5,0,9,13,15,20,12,0,0,0,0,TRUE,FALSE,"89"
"American University AMER","Navy NAVY","NAVY 71, AMER 59",FALSE,"/mens-college-basketball/game/_/gameId/401259780",20210117,"NAVY","AMER","NAVY","AMER",1,NA,45.5,45.1,46.7,23.8,82.4,57.1,30,34,8,10,22,24,14,14,13,10,2,5,14,21,16,19,0,0,0,0,FALSE,FALSE,""
"UMass Lowell UML","Binghamton BING","UML 77, BING 67",FALSE,"/mens-college-basketball/game/_/gameId/401256986",20210117,"BING","UML","UML","BING",0,NA,46,41.9,47.4,45,66.7,84.2,34,35,9,13,25,22,8,14,5,8,6,3,14,7,17,18,0,0,0,0,FALSE,FALSE,""
